uberon_id	xref
UBERON:0001567	BTO:0001754
UBERON:0001568	BTO:0001626
UBERON:0001579	BTO:0003648
UBERON:0001585	BTO:0002683
UBERON:0001597	BTO:0001755
UBERON:0001601	BTO:0001579
UBERON:0001605	BTO:0000654
UBERON:0001607	BTO:0000656
UBERON:0001608	BTO:0001371
UBERON:0001614	BTO:0003747
UBERON:0001621	BTO:0000290
UBERON:0001627	BTO:0005206
UBERON:0001629	BTO:0000204
UBERON:0001637	BTO:0000573
UBERON:0001638	BTO:0000234
UBERON:0001645	BTO:0001072
UBERON:0001648	BTO:0003490
UBERON:0001649	BTO:0004979
UBERON:0001650	BTO:0003386
UBERON:0001657	BTO:0003748
UBERON:0001666	BTO:0000466
UBERON:0001667	BTO:0000867
UBERON:0001675	BTO:0001231
UBERON:0001679	BTO:0004140
UBERON:0001684	BTO:0001748
UBERON:0001690	BTO:0000368
UBERON:0001691	BTO:0002100
UBERON:0001697	BTO:0004687
UBERON:0001705	BTO:0001719
UBERON:0001707	BTO:0002096
UBERON:0001708	BTO:0001749
UBERON:0001711	BTO:0002241
UBERON:0001714	BTO:0000106
UBERON:0001716	BTO:0001779
UBERON:0001721	BTO:0004369
UBERON:0001722	BTO:0004371
UBERON:0001723	BTO:0001385
UBERON:0001727	BTO:0000989
UBERON:0001728	BTO:0000662
UBERON:0001731	BTO:0002097
UBERON:0001732	BTO:0000777
UBERON:0001736	BTO:0001316
UBERON:0001737	BTO:0001208
UBERON:0001738	BTO:0003655
UBERON:0001739	BTO:0003660
UBERON:0001744	BTO:0000753
UBERON:0001747	BTO:0004579
UBERON:0001751	BTO:0003453
UBERON:0001752	BTO:0001844
UBERON:0001753	BTO:0002525
UBERON:0001754	BTO:0000339
UBERON:0001756	BTO:0002099
UBERON:0001758	BTO:0001021
UBERON:0001759	BTO:0003472
UBERON:0001763	BTO:0001839
UBERON:0001765	BTO:0002845
UBERON:0001766	BTO:0002084
UBERON:0001767	BTO:0002086
UBERON:0001769	BTO:0000653
UBERON:0001772	BTO:0000287
UBERON:0001773	BTO:0001606
UBERON:0001775	BTO:0000260
UBERON:0001776	BTO:0001829
UBERON:0001778	BTO:0001770
UBERON:0001780	BTO:0000870
UBERON:0001782	BTO:0001177
UBERON:0001785	BTO:0001104
UBERON:0001789	BTO:0005600
UBERON:0001790	BTO:0003174
